期号,红1,红2,红3,红4,红5,红6,蓝,六爻1,六爻2,六爻3,六爻4,六爻5,六爻6
2024408,1,13,18,22,23,28,9,0,1,0,0,0,1
2024409,1,14,21,22,30,31,2,1,0,0,1,0,1
2024410,4,9,14,21,28,32,15,0,0,0,0,1,1
2024411,2,17,24,25,32,33,8,1,1,1,0,1,1
2024412,4,14,15,18,30,32,11,0,1,1,1,1,1
2024413,1,3,7,11,19,26,1,1,0,1,0,0,0
2024414,3,7,8,15,28,31,6,0,0,1,1,0,0
2024415,3,4,20,21,22,30,1,1,1,0,0,1,0
2024416,1,19,26,28,31,33,11,0,1,0,1,1,0
2024417,4,8,11,16,17,32,2,1,0,0,0,0,1
2024418,3,16,20,22,25,31,15,0,0,0,1,0,1
2024419,2,3,4,7,19,29,2,1,1,1,1,0,1
2024420,3,21,23,25,28,29,5,0,1,1,0,1,1
2024421,2,4,10,20,21,29,14,1,0,1,1,1,1
2024422,2,5,7,18,22,30,10,0,0,1,0,0,0
2024423,4,14,20,25,26,33,8,1,1,0,1,0,0
2024424,1,13,14,15,26,30,4,0,1,0,0,1,0
2024425,2,11,15,17,19,22,7,1,0,0,1,1,0
2024426,1,3,7,20,23,33,7,0,0,0,0,0,1
2024427,9,12,14,16,17,24,15,1,1,1,0,0,1
2024428,2,5,12,16,26,29,5,0,1,1,1,0,1
2024429,12,17,20,21,25,28,10,1,0,1,0,1,1
2024430,10,11,16,20,32,33,10,0,0,1,1,1,1
2024431,1,17,19,22,24,29,5,1,1,0,0,0,0
2024432,4,16,17,18,27,30,2,0,1,0,1,0,0
2024433,7,21,23,28,30,31,3,1,0,0,0,1,0
2024434,13,16,22,23,29,33,15,0,0,0,1,1,0
2024435,10,11,14,20,22,33,6,1,1,1,1,1,0
2024436,2,7,16,26,29,30,8,0,1,1,0,0,1
2024437,1,8,15,20,23,32,7,1,0,1,1,0,1
2024438,11,16,24,25,27,31,13,0,0,1,0,1,1
2024439,1,6,12,14,26,27,1,1,1,0,1,1,1
2024440,1,4,5,18,23,33,10,0,1,0,0,0,0
2024441,12,13,19,21,25,29,2,1,0,0,1,0,0
2024442,2,6,7,8,10,13,9,0,0,0,0,1,0
2024443,6,8,12,18,22,28,7,1,1,1,0,1,0
2024444,1,2,4,9,12,27,5,0,1,1,1,1,0
2024445,7,8,10,11,25,30,15,1,0,1,0,0,1
2024446,6,12,16,22,24,26,14,0,0,1,1,0,1
2024447,5,8,26,29,31,33,7,1,1,0,0,1,1
2024448,11,12,13,20,23,25,14,0,1,0,1,1,1
2024449,3,7,16,19,20,25,10,1,0,0,0,0,0
2024450,2,8,10,21,26,32,9,0,0,0,1,0,0
2024451,3,7,9,24,26,32,16,1,1,1,1,0,0
2024452,5,11,13,17,21,25,12,0,1,1,0,1,0
2024453,6,11,12,23,30,32,16,1,0,1,1,1,0
2024454,9,13,19,21,31,32,2,0,0,1,0,0,1
2024455,7,14,15,28,29,32,8,1,1,0,1,0,1
2024456,10,13,14,26,29,32,6,0,1,0,0,1,1
2024457,3,5,17,18,24,25,3,1,0,0,1,1,1
2024458,8,12,17,19,29,33,2,0,0,0,0,0,0
2024459,14,15,22,30,31,33,14,1,1,1,0,0,0
2024460,1,9,11,13,24,32,6,0,1,1,1,0,0
2024461,3,9,12,15,21,29,3,1,0,1,0,1,0
2024462,4,6,8,9,19,26,4,0,0,1,1,1,0
2024463,2,5,7,11,18,24,7,1,1,0,0,0,1
2024464,10,17,22,24,25,27,9,0,1,0,1,0,1
2024465,9,13,23,24,25,28,9,1,0,0,0,1,1
2024466,1,10,12,20,26,27,13,0,0,0,1,1,1
2024467,1,16,17,21,25,26,5,1,1,1,1,1,1
2024468,7,8,15,24,26,30,16,0,1,1,0,0,0
2024469,11,15,24,27,30,33,3,1,0,1,1,0,0
2024470,13,14,21,23,25,31,7,0,0,1,0,1,0
2024471,1,12,18,28,29,33,5,1,1,0,1,1,0
2024472,1,9,16,20,24,31,12,0,1,0,0,0,1
2024473,14,15,22,25,31,33,13,1,0,0,1,0,1
2024474,1,19,20,21,26,31,2,0,0,0,0,1,1
2024475,9,10,11,19,21,31,13,1,1,1,0,1,1
2024476,3,13,14,18,25,31,13,0,1,1,1,1,1
2024477,4,11,13,15,19,31,10,1,0,1,0,0,0
2024478,4,6,11,18,22,33,2,0,0,1,1,0,0
2024479,2,3,6,7,13,32,10,1,1,0,0,1,0
2024480,3,10,14,15,17,22,15,0,1,0,1,1,0
2024481,1,4,6,11,17,24,14,1,0,0,0,0,1
2024482,4,5,11,14,18,26,16,0,0,0,1,0,1
2024483,5,7,25,28,29,31,5,1,1,1,1,0,1
2024484,14,20,22,23,27,33,16,0,1,1,0,1,1
2024485,7,11,17,19,20,23,15,1,0,1,1,1,1
2024486,1,3,5,13,15,18,13,0,0,1,0,0,0
2024487,16,19,22,29,30,33,15,1,1,0,1,0,0
2024488,3,10,21,24,30,32,15,0,1,0,0,1,0
2024489,13,20,23,26,27,32,6,1,0,0,1,1,0
2024490,6,16,20,24,27,29,14,0,0,0,0,0,1
2024491,6,22,23,25,30,33,4,1,1,1,0,0,1
2024492,3,6,8,26,28,29,9,0,1,1,1,0,1
2024493,5,7,19,23,24,30,16,1,0,1,0,1,1
2024494,3,4,8,12,25,27,11,0,0,1,1,1,1
2024495,6,7,9,17,27,29,2,1,1,0,0,0,0
2024496,2,3,21,22,23,30,15,0,1,0,1,0,0
2024497,7,13,22,24,25,28,13,1,0,0,0,1,0
2024498,1,3,4,5,9,23,11,0,0,0,1,1,0
2024499,3,15,18,30,32,33,8,1,1,1,1,1,0
2024500,9,16,27,29,30,32,6,0,1,1,0,0,1
2024501,2,4,6,10,11,20,4,1,0,1,1,0,1
2024502,1,3,11,22,25,26,9,0,0,1,0,1,1
2024503,6,7,10,12,23,29,2,1,1,0,1,1,1
2024504,2,14,21,23,27,29,4,0,1,0,0,0,0
2024505,1,2,15,20,25,32,2,1,0,0,1,0,0
2024506,8,12,13,25,30,31,7,0,0,0,0,1,0
2024507,1,2,6,11,14,30,7,1,1,1,0,1,0
2024508,4,5,15,26,29,31,6,0,1,1,1,1,0
2024509,3,4,11,14,17,27,11,1,0,1,0,0,1
2024510,7,13,18,20,21,32,14,0,0,1,1,0,1
2024511,4,7,8,11,12,15,6,1,1,0,0,1,1
2024512,1,11,13,21,26,33,7,0,1,0,1,1,1
2024513,3,9,15,22,27,30,12,1,0,0,0,0,0
2024514,3,5,7,10,14,29,16,0,0,0,1,0,0
2024515,4,7,9,11,20,32,13,1,1,1,1,0,0
2024516,6,9,21,22,23,25,11,0,1,1,0,1,0
2024517,1,5,11,19,20,31,15,1,0,1,1,1,0
2024518,1,15,17,19,23,25,8,0,0,1,0,0,1
2024519,2,8,10,14,24,32,8,1,1,0,1,0,1
2024520,4,5,6,10,12,16,7,0,1,0,0,1,1
2024521,2,7,8,10,21,25,15,1,0,0,1,1,1
2024522,9,11,21,22,26,32,2,0,0,0,0,0,0
2024523,1,8,19,25,27,28,11,1,1,1,0,0,0
2024524,2,7,16,18,22,33,8,0,1,1,1,0,0
2024525,6,11,15,17,25,33,1,1,0,1,0,1,0
2024526,2,3,5,7,21,32,5,0,0,1,1,1,0
2024527,3,6,9,14,18,19,7,1,1,0,0,0,1
2024528,6,10,14,15,16,24,6,0,1,0,1,0,1
2024529,6,8,13,14,16,20,10,1,0,0,0,1,1
2024530,7,9,19,21,29,31,16,0,0,0,1,1,1
2024531,6,13,16,24,31,33,15,1,1,1,1,1,1
2024532,5,25,26,27,28,33,16,0,1,1,0,0,0
2024533,2,3,14,25,28,32,10,1,0,1,1,0,0
2024534,9,10,12,13,15,33,15,0,0,1,0,1,0
2024535,3,16,18,19,20,25,11,1,1,0,1,1,0
2024536,1,5,7,9,31,32,1,0,1,0,0,0,1
2024537,13,14,16,24,30,33,12,1,0,0,1,0,1
2024538,3,10,19,21,25,32,14,0,0,0,0,1,1
2024539,3,6,8,13,19,30,7,1,1,1,0,1,1
2024540,17,24,25,28,30,31,12,0,1,1,1,1,1
2024541,12,21,23,30,32,33,2,1,0,1,0,0,0
2024542,8,16,24,25,28,30,2,0,0,1,1,0,0
2024543,2,5,21,22,23,24,9,1,1,0,0,1,0
2024544,8,9,10,19,20,30,6,0,1,0,1,1,0
2024545,1,3,8,21,23,25,13,1,0,0,0,0,1
2024546,6,7,14,17,26,30,6,0,0,0,1,0,1
2024547,10,17,18,23,28,32,13,1,1,1,1,0,1
2024548,20,24,25,27,28,29,3,0,1,1,0,1,1
2024549,5,7,9,23,24,27,7,1,0,1,1,1,1
2024550,1,6,16,20,26,27,1,0,0,1,0,0,0
2024551,5,7,14,17,23,25,14,1,1,0,1,0,0
2024552,6,12,19,28,30,31,5,0,1,0,0,1,0
2024553,4,6,13,15,17,32,7,1,0,0,1,1,0
2024554,2,6,12,13,24,26,7,0,0,0,0,0,1
2024555,4,15,17,20,21,27,6,1,1,1,0,0,1
2024556,3,4,6,9,13,19,3,0,1,1,1,0,1
2024557,2,8,16,19,22,29,4,1,0,1,0,1,1
2024558,1,4,9,22,25,33,2,0,0,1,1,1,1
2024559,1,7,13,14,17,26,9,1,1,0,0,0,0
2024560,11,14,20,25,31,32,11,0,1,0,1,0,0
2024561,8,11,12,22,24,27,13,1,0,0,0,1,0
2024562,4,11,12,25,26,28,4,0,0,0,1,1,0
2024563,1,13,23,24,28,30,5,1,1,1,1,1,0
2024564,2,8,9,17,23,28,8,0,1,1,0,0,1
2024565,20,22,24,28,29,30,16,1,0,1,1,0,1
2024566,1,7,21,22,27,33,11,0,0,1,0,1,1
2024567,2,24,26,28,32,33,11,1,1,0,1,1,1
2024568,13,15,16,20,24,29,3,0,1,0,0,0,0
2024569,16,22,23,28,30,31,4,1,0,0,1,0,0
2024570,5,7,19,20,23,25,2,0,0,0,0,1,0
2024571,3,9,10,26,27,32,15,1,1,1,0,1,0
2024572,4,11,16,22,29,31,8,0,1,1,1,1,0
2024573,6,14,16,22,23,25,3,1,0,1,0,0,1
2024574,1,6,7,11,23,28,13,0,0,1,1,0,1
2024575,9,15,16,18,22,24,4,1,1,0,0,1,1
2024576,3,9,11,23,26,32,8,0,1,0,1,1,1
2024577,5,13,22,23,24,30,13,1,0,0,0,0,0
2024578,4,8,9,10,15,28,3,0,0,0,1,0,0
2024579,6,7,8,11,19,24,4,1,1,1,1,0,0
2024580,9,11,13,19,24,28,1,0,1,1,0,1,0
2024581,4,7,18,19,20,28,13,1,0,1,1,1,0
2024582,12,21,22,25,26,28,5,0,0,1,0,0,1
2024583,1,7,13,15,18,28,15,1,1,0,1,0,1
2024584,8,10,21,27,31,32,16,0,1,0,0,1,1
2024585,5,10,20,24,30,32,2,1,0,0,1,1,1
2024586,4,9,17,20,21,23,16,0,0,0,0,0,0
2024587,2,10,13,14,23,32,11,1,1,1,0,0,0
2024588,8,10,14,24,26,28,2,0,1,1,1,0,0
2024589,10,12,13,24,27,32,6,1,0,1,0,1,0
2024590,2,11,14,16,22,26,12,0,0,1,1,1,0
2024591,3,10,17,24,26,33,10,1,1,0,0,0,1
2024592,4,5,11,13,25,26,2,0,1,0,1,0,1
2024593,5,6,19,20,21,30,15,1,0,0,0,1,1
2024594,5,7,19,29,31,33,7,0,0,0,1,1,1
2024595,1,4,19,24,28,32,5,1,1,1,1,1,1
2024596,2,6,22,25,27,28,4,0,1,1,0,0,0
2024597,2,4,6,17,23,31,11,1,0,1,1,0,0
2024598,8,10,13,21,24,28,2,0,0,1,0,1,0
2024599,8,10,13,16,23,32,6,1,1,0,1,1,0
2024600,6,15,25,27,28,33,13,0,1,0,0,0,1
2024601,1,4,12,18,29,32,3,1,0,0,1,0,1
2024602,8,17,21,22,32,33,1,0,0,0,0,1,1
2024603,4,18,23,24,26,31,6,1,1,1,0,1,1
2024604,10,14,21,23,25,31,5,0,1,1,1,1,1
2024605,3,7,21,23,26,28,6,1,0,1,0,0,0
2024606,2,13,18,26,27,30,16,0,0,1,1,0,0
2024607,5,7,8,22,25,31,4,1,1,0,0,1,0
2024608,1,12,15,18,26,33,11,0,1,0,1,1,0
2024609,3,5,7,8,19,21,6,1,0,0,0,0,1
2024610,2,3,6,17,25,28,4,0,0,0,1,0,1
2024611,6,12,14,18,20,33,1,1,1,1,1,0,1
2024612,2,16,17,20,26,29,10,0,1,1,0,1,1
2024613,9,11,16,19,23,29,12,1,0,1,1,1,1
2024614,4,14,22,23,27,33,2,0,0,1,0,0,0
2024615,3,5,7,10,16,28,7,1,1,0,1,0,0
2024616,5,9,12,14,19,33,14,0,1,0,0,1,0
2024617,5,6,9,13,17,21,13,1,0,0,1,1,0
2024618,6,9,14,22,30,31,5,0,0,0,0,0,1
2024619,5,9,14,21,24,31,7,1,1,1,0,0,1
2024620,5,11,14,24,27,32,14,0,1,1,1,0,1
2024621,2,3,8,20,25,31,9,1,0,1,0,1,1
2024622,3,8,14,18,22,33,11,0,0,1,1,1,1
2024623,6,9,11,24,25,30,5,1,1,0,0,0,0
2024624,1,4,8,13,15,18,13,0,1,0,1,0,0
2024625,6,7,8,10,17,24,16,1,0,0,0,1,0
2024626,7,10,19,23,28,32,9,0,0,0,1,1,0
2024627,4,6,7,11,13,25,6,1,1,1,1,1,0
2024628,5,9,16,19,23,26,1,0,1,1,0,0,1
2024629,5,10,13,22,30,33,9,1,0,1,1,0,1
2024630,4,8,22,23,24,25,14,0,0,1,0,1,1
2024631,12,15,26,30,31,32,10,1,1,0,1,1,1
2024632,17,18,23,27,28,29,8,0,1,0,0,0,0
2024633,6,10,14,20,25,31,11,1,0,0,1,0,0
2024634,3,6,8,24,31,33,6,0,0,0,0,1,0
2024635,4,6,10,16,18,24,1,1,1,1,0,1,0
2024636,9,16,17,22,28,31,4,0,1,1,1,1,0
2024637,1,7,20,24,26,27,1,1,0,1,0,0,1
2024638,8,22,23,24,27,28,2,0,0,1,1,0,1
2024639,11,22,25,29,30,33,8,1,1,0,0,1,1
2024640,5,12,17,27,32,33,12,0,1,0,1,1,1
2024641,4,6,12,13,16,28,4,1,0,0,0,0,0
2024642,16,18,22,25,27,28,4,0,0,0,1,0,0
2024643,7,9,10,16,19,20,1,1,1,1,1,0,0
2024644,10,14,17,21,26,30,2,0,1,1,0,1,0
2024645,1,2,12,20,30,32,15,1,0,1,1,1,0
2024646,1,4,12,20,22,31,6,0,0,1,0,0,1
2024647,1,4,14,16,23,26,7,1,1,0,1,0,1
2024648,1,4,6,10,14,16,5,0,1,0,0,1,1
2024649,10,12,13,15,16,17,12,1,0,0,1,1,1
2024650,4,9,12,18,26,28,15,0,0,0,0,0,0
2024651,5,11,12,14,24,29,1,1,1,1,0,0,0
2024652,2,4,7,10,13,23,5,0,1,1,1,0,0
2024653,2,11,24,26,27,29,6,1,0,1,0,1,0
2024654,4,9,13,22,31,32,14,0,0,1,1,1,0
2024655,5,22,23,26,32,33,11,1,1,0,0,0,1
2024656,4,5,25,26,30,33,1,0,1,0,1,0,1
2024657,1,9,10,12,17,25,8,1,0,0,0,1,1
2024658,1,4,14,20,22,24,14,0,0,0,1,1,1
2024659,3,10,16,19,25,31,14,1,1,1,1,1,1
2024660,6,8,10,16,17,24,9,0,1,1,0,0,0
2024661,8,17,22,23,27,33,14,1,0,1,1,0,0
2024662,4,13,23,26,30,31,6,0,0,1,0,1,0
2024663,4,5,8,10,13,33,2,1,1,0,1,1,0
2024664,1,5,13,14,18,30,7,0,1,0,0,0,1
2024665,4,6,10,13,14,17,8,1,0,0,1,0,1
2024666,2,14,15,16,17,22,14,0,0,0,0,1,1
2024667,4,9,12,20,30,33,12,1,1,1,0,1,1
2024668,2,6,11,16,27,29,2,0,1,1,1,1,1
2024669,1,4,7,11,22,24,10,1,0,1,0,0,0
2024670,4,14,18,20,30,31,6,0,0,1,1,0,0
2024671,4,10,11,12,17,32,4,1,1,0,0,1,0
2024672,1,9,11,12,24,26,12,0,1,0,1,1,0
2024673,7,9,16,19,21,24,13,1,0,0,0,0,1
2024674,5,6,7,20,21,24,4,0,0,0,1,0,1
2024675,3,4,7,13,15,23,3,1,1,1,1,0,1
2024676,7,16,20,22,24,25,5,0,1,1,0,1,1
2024677,3,7,9,14,18,23,9,1,0,1,1,1,1
2024678,4,15,21,23,24,33,14,0,0,1,0,0,0
2024679,5,14,17,26,30,31,1,1,1,0,1,0,0
2024680,2,5,10,11,18,23,2,0,1,0,0,1,0
2024681,13,16,18,22,26,28,3,1,0,0,1,1,0
2024682,11,13,17,18,25,29,13,0,0,0,0,0,1
2024683,1,6,7,18,26,30,7,1,1,1,0,0,1
2024684,1,17,23,24,30,31,9,0,1,1,1,0,1
2024685,9,10,15,18,20,23,4,1,0,1,0,1,1
2024686,2,8,10,11,15,18,2,0,0,1,1,1,1
2024687,5,9,10,18,28,30,2,1,1,0,0,0,0
2024688,1,4,14,16,18,21,12,0,1,0,1,0,0
2024689,3,18,21,23,24,29,9,1,0,0,0,1,0
2024690,9,10,11,20,27,29,2,0,0,0,1,1,0
2024691,1,6,8,9,23,24,9,1,1,1,1,1,0
2024692,2,7,13,23,24,31,9,0,1,1,0,0,1
2024693,7,8,9,11,14,29,13,1,0,1,1,0,1
2024694,8,10,14,24,29,30,12,0,0,1,0,1,1
2024695,3,6,10,15,16,31,6,1,1,0,1,1,1
2024696,6,12,13,16,19,24,10,0,1,0,0,0,0
2024697,2,6,20,27,29,31,13,1,0,0,1,0,0
2024698,3,5,8,13,14,32,15,0,0,0,0,1,0
2024699,5,7,17,24,26,31,1,1,1,1,0,1,0
2024700,1,4,7,13,25,27,1,0,1,1,1,1,0
2024701,3,8,9,25,32,33,5,1,0,1,0,0,1
2024702,1,4,18,26,31,33,11,0,0,1,1,0,1
2024703,5,6,13,16,19,25,15,1,1,0,0,1,1
2024704,5,8,11,16,20,33,2,0,1,0,1,1,1
2024705,1,2,4,8,18,27,10,1,0,0,0,0,0
2024706,1,5,7,8,27,30,8,0,0,0,1,0,0
2024707,5,10,12,21,25,28,8,1,1,1,1,0,0
2024708,4,6,8,16,25,32,4,0,1,1,0,1,0
2024709,3,4,11,19,20,23,12,1,0,1,1,1,0
2024710,3,5,6,14,20,33,11,0,0,1,0,0,1
2024711,5,12,22,28,29,30,10,1,1,0,1,0,1
2024712,4,9,16,19,23,29,12,0,1,0,0,1,1
2024713,1,5,17,26,28,32,5,1,0,0,1,1,1
2024714,10,13,15,21,24,26,16,0,0,0,0,0,0
2024715,5,8,9,14,19,24,5,1,1,1,0,0,0
2024716,5,6,13,21,25,33,12,0,1,1,1,0,0
2024717,14,16,21,23,31,32,11,1,0,1,0,1,0
2024718,9,13,14,16,18,32,16,0,0,1,1,1,0
2024719,3,14,15,19,23,25,8,1,1,0,0,0,1
2024720,1,6,7,12,16,28,1,0,1,0,1,0,1
2024721,2,4,5,24,31,32,12,1,0,0,0,1,1
2024722,5,9,10,15,24,27,14,0,0,0,1,1,1
2024723,2,8,14,16,24,27,5,1,1,1,1,1,1
2024724,1,8,10,13,23,24,14,0,1,1,0,0,0
2024725,4,19,22,23,24,32,3,1,0,1,1,0,0
2024726,1,5,11,12,30,31,3,0,0,1,0,1,0
2024727,1,5,16,19,27,29,14,1,1,0,1,1,0
2024728,5,10,12,16,24,30,10,0,1,0,0,0,1
2024729,11,15,24,26,27,31,1,1,0,0,1,0,1
2024730,2,5,8,19,21,29,2,0,0,0,0,1,1
2024731,1,11,12,13,14,27,15,1,1,1,0,1,1
2024732,6,8,14,17,20,23,9,0,1,1,1,1,1
2024733,5,6,7,24,25,31,13,1,0,1,0,0,0
2024734,4,6,13,15,24,27,3,0,0,1,1,0,0
2024735,11,13,21,30,31,33,13,1,1,0,0,1,0
2024736,4,11,12,14,21,26,7,0,1,0,1,1,0
2024737,3,4,7,12,18,20,11,1,0,0,0,0,1
2024738,2,4,6,10,16,18,3,0,0,0,1,0,1
2024739,1,7,10,14,25,30,7,1,1,1,1,0,1
2024740,3,9,16,19,29,33,2,0,1,1,0,1,1
2024741,2,3,10,11,31,32,1,1,0,1,1,1,1
2024742,7,13,17,19,23,31,11,0,0,1,0,0,0
2024743,4,5,22,23,26,32,11,1,1,0,1,0,0
2024744,5,7,17,25,26,27,1,0,1,0,0,1,0
2024745,2,19,25,28,30,31,10,1,0,0,1,1,0
2024746,3,10,11,15,21,22,3,0,0,0,0,0,1
2024747,5,14,15,21,22,26,6,1,1,1,0,0,1
2024748,5,11,15,22,26,33,10,0,1,1,1,0,1
2024749,2,23,24,25,28,29,13,1,0,1,0,1,1
2024750,3,5,14,16,20,31,16,0,0,1,1,1,1
2024751,1,5,7,10,25,28,3,1,1,0,0,0,0
2024752,6,7,10,11,15,32,6,0,1,0,1,0,0
2024753,3,5,12,18,19,30,3,1,0,0,0,1,0
2024754,9,12,16,25,30,31,15,0,0,0,1,1,0
2024755,2,8,9,12,16,19,10,1,1,1,1,1,0
2024756,5,20,22,26,27,28,15,0,1,1,0,0,1
2024757,3,12,14,21,22,24,15,1,0,1,1,0,1
2024758,2,3,17,20,21,24,8,0,0,1,0,1,1
2024759,1,4,10,13,28,32,6,1,1,0,1,1,1
2024760,5,8,13,15,26,28,3,0,1,0,0,0,0
2024761,15,18,21,23,27,30,15,1,0,0,1,0,0
2024762,4,6,7,13,24,32,14,0,0,0,0,1,0
2024763,3,11,13,26,29,31,16,1,1,1,0,1,0
2024764,2,4,9,14,15,31,5,0,1,1,1,1,0
2024765,7,10,11,19,21,31,2,1,0,1,0,0,1
2024766,4,12,25,26,30,31,14,0,0,1,1,0,1
2024767,1,2,7,14,28,31,14,1,1,0,0,1,1
2024768,3,5,6,17,18,21,3,0,1,0,1,1,1
2024769,3,10,18,23,26,28,15,1,0,0,0,0,0
2024770,6,9,14,22,27,29,2,0,0,0,1,0,0
2024771,6,10,11,25,28,33,7,1,1,1,1,0,0
2024772,16,18,23,27,31,33,6,0,1,1,0,1,0
2024773,13,19,23,28,30,32,1,1,0,1,1,1,0
2024774,5,13,19,20,22,24,5,0,0,1,0,0,1
2024775,1,5,15,21,29,33,5,1,1,0,1,0,1
2024776,4,14,21,22,26,32,9,0,1,0,0,1,1
2024777,1,5,27,28,29,31,15,1,0,0,1,1,1
2024778,3,7,14,24,31,33,6,0,0,0,0,0,0
2024779,7,12,14,22,25,30,1,1,1,1,0,0,0
2024780,1,10,24,29,30,33,4,0,1,1,1,0,0
2024781,12,14,29,30,31,32,14,1,0,1,0,1,0
2024782,6,8,14,15,22,30,12,0,0,1,1,1,0
2024783,10,11,12,13,14,18,14,1,1,0,0,0,1
2024784,3,4,7,19,26,27,3,0,1,0,1,0,1
2024785,2,4,16,24,25,27,4,1,0,0,0,1,1
2024786,3,10,14,22,28,29,7,0,0,0,1,1,1
2024787,4,7,13,15,18,30,16,1,1,1,1,1,1
2024788,8,14,15,23,26,31,13,0,1,1,0,0,0
2024789,1,8,10,17,24,26,9,1,0,1,1,0,0
2024790,14,17,20,26,27,29,8,0,0,1,0,1,0
2024791,1,2,5,27,30,33,12,1,1,0,1,1,0
2024792,6,8,14,19,21,22,13,0,1,0,0,0,1
2024793,2,13,19,26,27,32,14,1,0,0,1,0,1
2024794,6,9,11,13,24,25,6,0,0,0,0,1,1
2024795,4,5,15,23,26,28,4,1,1,1,0,1,1
2024796,6,11,17,18,26,27,7,0,1,1,1,1,1
2024797,1,6,14,21,31,33,5,1,0,1,0,0,0
2024798,1,2,6,13,19,24,5,0,0,1,1,0,0
2024799,6,8,21,23,30,33,10,1,1,0,0,1,0
2024800,13,16,24,25,26,29,13,0,1,0,1,1,0
2024801,3,4,5,9,17,21,1,1,0,0,0,0,1
2024802,4,7,8,15,20,30,4,0,0,0,1,0,1
2024803,3,6,9,10,19,29,3,1,1,1,1,0,1
2024804,7,13,24,27,30,32,4,0,1,1,0,1,1
2024805,2,3,14,16,21,32,3,1,0,1,1,1,1
2024806,11,13,14,21,27,29,15,0,0,1,0,0,0
2024807,1,6,10,11,12,29,2,1,1,0,1,0,0
2024808,8,12,16,20,22,29,1,0,1,0,0,1,0
2024809,4,7,11,17,20,30,1,1,0,0,1,1,0
2024810,2,4,7,10,12,28,7,0,0,0,0,0,1
2024811,2,3,5,8,21,24,5,1,1,1,0,0,1
2024812,3,7,12,16,18,33,10,0,1,1,1,0,1
2024813,7,13,14,17,30,32,9,1,0,1,0,1,1
2024814,12,13,22,23,28,29,9,0,0,1,1,1,1
2024815,7,19,25,26,31,33,10,1,1,0,0,0,0
2024816,11,14,16,24,31,32,15,0,1,0,1,0,0
2024817,4,11,18,20,27,28,13,1,0,0,0,1,0
2024818,12,13,19,21,28,30,3,0,0,0,1,1,0
2024819,2,9,11,17,29,33,14,1,1,1,1,1,0
2024820,1,4,6,13,19,23,11,0,1,1,0,0,1
2024821,3,7,8,12,28,32,12,1,0,1,1,0,1
2024822,1,4,10,11,24,25,11,0,0,1,0,1,1
2024823,1,7,15,19,22,26,11,1,1,0,1,1,1
2024824,5,7,10,13,15,20,7,0,1,0,0,0,0
2024825,7,18,20,23,26,29,3,1,0,0,1,0,0
2024826,7,11,27,28,31,33,7,0,0,0,0,1,0
2024827,2,4,9,14,16,32,4,1,1,1,0,1,0
2024828,6,8,11,19,20,29,13,0,1,1,1,1,0
2024829,1,2,10,16,21,26,1,1,0,1,0,0,1
2024830,2,5,13,19,27,30,2,0,0,1,1,0,1
2024831,2,3,4,16,22,27,14,1,1,0,0,1,1
2024832,11,12,13,18,20,25,3,0,1,0,1,1,1
2024833,2,10,13,20,21,32,15,1,0,0,0,0,0
2024834,4,8,12,20,27,32,1,0,0,0,1,0,0
2024835,1,4,5,15,27,32,11,1,1,1,1,0,0
2024836,3,6,7,15,24,28,12,0,1,1,0,1,0
2024837,1,2,4,9,26,29,4,1,0,1,1,1,0
2024838,3,4,9,11,20,23,13,0,0,1,0,0,1
2024839,5,11,15,18,19,30,4,1,1,0,1,0,1
2024840,5,9,19,21,25,28,14,0,1,0,0,1,1
2024841,8,17,19,29,31,32,16,1,0,0,1,1,1
2024842,11,16,18,24,25,32,8,0,0,0,0,0,0
2024843,3,6,10,17,23,25,12,1,1,1,0,0,0
2024844,3,14,16,23,30,33,2,0,1,1,1,0,0
2024845,1,7,14,15,22,27,13,1,0,1,0,1,0
2024846,4,7,11,13,27,32,11,0,0,1,1,1,0
2024847,5,17,20,21,28,30,4,1,1,0,0,0,1
2024848,9,12,13,15,30,32,7,0,1,0,1,0,1
2024849,3,6,9,13,14,26,10,1,0,0,0,1,1
2024850,4,7,10,15,24,29,4,0,0,0,1,1,1
2024851,2,6,9,15,16,29,1,1,1,1,1,1,1
2024852,4,9,12,18,29,31,3,0,1,1,0,0,0
2024853,5,7,13,17,23,28,14,1,0,1,1,0,0
2024854,2,9,12,15,22,33,4,0,0,1,0,1,0
2024855,4,7,14,24,25,30,10,1,1,0,1,1,0
2024856,6,9,13,17,20,26,16,0,1,0,0,0,1
2024857,2,7,8,21,22,28,4,1,0,0,1,0,1
2024858,2,8,15,19,29,31,9,0,0,0,0,1,1
2024859,4,5,8,9,16,18,13,1,1,1,0,1,1
2024860,4,8,24,26,27,33,9,0,1,1,1,1,1
2024861,6,7,12,14,26,32,10,1,0,1,0,0,0
2024862,1,4,6,17,19,23,16,0,0,1,1,0,0
2024863,3,6,11,16,20,22,6,1,1,0,0,1,0
2024864,1,5,12,15,22,29,16,0,1,0,1,1,0
2024865,1,3,6,9,22,28,6,1,0,0,0,0,1
2024866,1,16,19,23,31,33,8,0,0,0,1,0,1
2024867,1,2,8,19,27,31,10,1,1,1,1,0,1
2024868,4,5,11,15,25,31,4,0,1,1,0,1,1
2024869,12,15,16,20,22,24,9,1,0,1,1,1,1
2024870,1,12,15,17,27,32,12,0,0,1,0,0,0
2024871,17,20,22,25,29,32,16,1,1,0,1,0,0
